retraction_id,paper_id,subjects,title,abstract,retraction_comment,page_count
2103.06235v7,2103.06235v6,Complex Variables (math.CV),Unicity on entire function concerning its differential polynomials in Several complex variables,"In this paper, we study the uniqueness of entire functions and their differences. We have proved: Let $f(z)$ be a transcendental entire function of $\rho_{2}(f)<1$ and $g(z)=b_{-1}+\sum_{i=0}^{n}b_{i}f^{(k_{i})}(z+\eta_{i})$, where $b_{-1}$ and $b_{i} (i=0\ldots,n)$ are small meromorphic functions of $f$, $k_{i}\geq0 (i=0\ldots,n)$ are integers, and $\eta_{i} (i=0\ldots,n)$ are finite values. Let $a(z)\not\equiv\infty, b(z)\not\equiv\infty$ be two distinct small meromorphic functions of $f(z)$. If $f(z)$ and $g(z)$ share $a(z)$ and $b(z)$ IM. Then $f(z)\equiv g(z)$.",The proof in Theorem 1 Is not true. As we can not obtain (3.1). So I want to withdrawal this paper,15
1009.6141v3,1009.6141v2,Mathematical Physics (math-ph),Dependence of Repeated Interaction Asymptotic States on Environment,"Consider a quantum system $\cS$ that interacts sequentially with a chain (environment) of identical probes ${\cal C} = \cP+\cP+...$, with each interaction governed by a fixed interaction time $\tau$ and operator $V$. It is known how to construct the asymptotic state (large times) if the initial states of $\cP$ belong to a class of so-called reference states. We generalize the analysis to a broader class of initial states, including the physically important situation of pure states. This is done by a simple modification to the effective dynamics generator.",This paper has been withdrawn due to problems with convergence in theorem 1,8
2008.07913v2,2008.07913v1,Materials Science (cond-mat.mtrl-sci),The Drude-Smith Model for Conductivity: de novo Derivation and Interpretation,"The Drude-Smith model successfully describes the frequency and phase-resolved electrical conductivity data for a surprisingly broad range of systems, especially in the terahertz region. Still, its interpretation is unclear since its original derivation is flawed. We use an intuitive physical framework to derive the Drude-Smith formula for systems where microscopically free charges are accumulated on a mesoscopic scale by localized scatterers. Within this framework, the model allows us to quantify the microscopic momentum relaxation time of the charges and the fraction of mesoscopically localized charges in addition to the direct current limit of the conductivity. We show that the Drude-Smith model is unique among different Drude-Lorentz models because the relaxation time of the free carriers also determines the frequency and damping of the resonance of the bound charges.","The assumptions made in eq. (6) / fig 1 b) are self- contradictory. It is no legitimate to assume that the incoming current stops instantaneously but the back current does not. The state of the art (Ku_el, P. & N_mec, H. Adv. Opt. Mater. 8, 1--23 (2020).) is that Drude-Smith is an empirical parameterisation and a general microscopic interpretation of the parameters alone should not be done",8
2008.12198v3,2008.12198v2,Numerical Analysis (math.NA),Inf-sup stability implies quasi-orthogonality,"We prove new optimality results for adaptive mesh refinement algorithms for non-symmetric, indefinite, and time-dependent problems by proposing a generalization of quasi-orthogonality which follows directly from the uniform inf-sup stability of the underlying problem. The quasi-orthogonality of Galerkin solutions is a key argument in modern proofs of optimal convergence of adaptive mesh refinement algorithms. Our generalization together with other well understood properties of the error estimator still implies linear convergence of the estimator and hence rate optimal convergence. This approach drastically simplifies a recent proof of optimality of the adaptive algorithm for the stationary Stokes problem and generalizes it to $d\geq 2$ and provides a proof of optimality for non-symmetric FEM-BEM coupling. Moreover, it allows us to prove optimal convergence of an adaptive time-stepping scheme for parabolic equations.","This work intended to simplify recent optimality proofs for the Stokes problem and FEM-BEM coupling. However, a gap in the proof of Lemma 4 prevents this simplification",21
1507.02829v2,1507.02829v1,Dynamical Systems (math.DS),Dimension maximizing measures and local dimension spectrum for self-affine systems,In this paper we study the dimension theory of self-affine measures and sets in several aspects. We consider systems satisfying dominated splitting in the linear parts and strong separation condition. The two main results of this paper are the existence of dimension maximizing Gibbs measures (K_enm_ki measures) and partial multifractal spectrum for the local dimension of self-affine measures.,"This paper has been withdrawn by the author due to a crucial error in Section 4, Lemma 4.6 equation (4.4). This error modifies or annihilates Theorem 1.2",32
1102.4582v2,1102.4582v1,Number Theory (math.NT),An Improved Bound Towards a Conjecture of Serre on Surjective Galois Representations,"Suppose that $E$ is an elliptic curve defined over $\mathbb{Q}$ without complex multiplication and with conductor $N$. For each positive integer $m$, the action of the absolute Galois group $G_{\mathbb{Q}}=\operatorname{Gal}(\bar{\mathbb{Q}}/\mathbb{Q})$ on the torsion points over $\bar{\mathbb{Q}}$ gives rise to a representation of $G_\mathbb{Q}$. A celebrated paper of Serre shows that this representation is surjective for all sufficiently large primes; the other primes are termed \emph{exceptional}. Serre conjectures that there are no exceptional primes $\ell>37$ for any non CM elliptic curve over $\mathbb{Q}$. The best result in this direction is due to Cojocaru, who proves that the largest exceptional prime $\ell_0\ll_{\epsilon} N^{1+\epsilon}$. In this paper we lower the exponent on the bound to obtain $\ell_0\ll_{\epsilon} N_0^{1/4}+\epsilon}$, where $N_0$ is the product of primes of bad reduction. If $E$ has no places of multiplicative reduction, then we have $\ell_0\ll_{\epsilon}N^{1/8}+\epsilon}$. Assuming the Frey-Szpiro conjecture, we have that $\ell_0\ll_{\epsilon}N^{1/8}+\epsilon}$ in general. Our main methods include the Rankin-Selberg method and the classical work on distribution of quadratic residues.",This paper has been withdrawn by the author due to an error in equation (14),9
1612.07337v3,1612.07337v2,High Energy Physics - Phenomenology (hep-ph),The Proton Radius Problem and Point-Particle Effective Field Theory,"We argue that the proton's charge-radius contributes differently to shifts of Hydrogen-like energy levels than naively expected due to an incorrect choice for the boundary condition at the proton's position in standard calculations. In particular we show how to obtain the correct boundary condition, which depends on the charge radius itself in a predictable way. We argue this difference in boundary conditions only matters when they are imposed at a radius $r=\epsilon < Z \alpha/m$ where $m$ is the orbiting-particle mass, because only then is the particle relativistic at these distances. The boundary condition difference is therefore important for ordinary Hydrogen while not for muonic Hydrogen. The boundary condition can be interpreted in terms of a second type of nuclear moment, and a prediction is made for the proton-radius energy shift as a function of charge-radius, $r_p$, this second nuclear moment, $h$, and orbiting particle mass, $m$. The observed difference between electronic and muonic contributions to the Lamb shift is accounted for with $r_p \simeq 0.87$ fm similar to its traditional value, and $2mh$ of order a few fm.",withdrawn because while our conclusions are correct for the Klein-Gordon and Schrodinger equations (as presented in arXiv:1612.07334) they do not carry over to the Dirac equation (as given in arXiv:1706.01063). The corrected implications of the techniques used here for atomic measurements are worked out in arXiv:1708.09768,5
2108.13775v2,2108.13775v1,Computer Vision and Pattern Recognition (cs.CV),Discriminative Semantic Feature Pyramid Network with Guided Anchoring for Logo Detection,"Recently, logo detection has received more and more attention for its wide applications in the multimedia field, such as intellectual property protection, product brand management, and logo duration monitoring. Unlike general object detection, logo detection is a challenging task, especially for small logo objects and large aspect ratio logo objects in the real-world scenario. In this paper, we propose a novel approach, named Discriminative Semantic Feature Pyramid Network with Guided Anchoring (DSFP-GA), which can address these challenges via aggregating the semantic information and generating different aspect ratio anchor boxes. More specifically, our approach mainly consists of Discriminative Semantic Feature Pyramid (DSFP) and Guided Anchoring (GA). Considering that low-level feature maps that are used to detect small logo objects lack semantic information, we propose the DSFP, which can enrich more discriminative semantic features of low-level feature maps and can achieve better performance on small logo objects. Furthermore, preset anchor boxes are less efficient for detecting large aspect ratio logo objects. We therefore integrate the GA into our method to generate large aspect ratio anchor boxes to mitigate this issue. Extensive experimental results on four benchmarks demonstrate the effectiveness of our proposed DSFP-GA. Moreover, we further conduct visual analysis and ablation studies to illustrate the advantage of our method in detecting small and large aspect logo objects. The code and models can be found at this https URL .","We are very sorry that the result of the whole experiment is wrong because of the wrong derivation of Equation 3, and we would like to withdraw the manuscript to stop the propagation of the mistake",13
1703.02840v4,1703.02840v3,Number Theory (math.NT),Irreducibility and Galois group of Hecke polynomials,"Let T_{n,k}(X) be the characteristic polynomial of the n-th Hecke operator acting on the space of cusp forms of weight k for the full modular group. We show that if there exists n>1 such that T_{n,k}(X) is irreducible and has the full symmetric group as Galois group, then the same is true of T_{p,k}(X) for all primes p.","There is an error in section 3, in using Theorem 3.2: the function f_{k,Dp^2,d} is not an eigenform a priori",12
1809.09649v3,1809.09649v2,Analysis of PDEs (math.AP),Scattering problems from slightly perturbed periodic surfaces: Part I. regularity of the Bloch transformed fields,"Rough surface scattering problems are always very challenging both theoretically and numerically. In this paper, we adopt the Bloch transform and the perturbation theory to investigate a special case, i.e., when the rough surface is a slight perturbation of a periodic one. Based on known results from the Bloch transform, the problem could be written into an equivalent bounded variational problem in higher dimensional spaces. The first step is to consider the non-perturbed problem. From the perturbation theory, the solution could be written as a Neumann series. The second step is to consider the slightly perturbed problems. The key point in the process is the relationship between the Dirichlet-to-Neumann map. With the study between these two operators, it is proved that when the right hand side belongs to a certain space, the problem is equivalent to a modified one. Thus a high regularity result is obtained.","Fundamental mistake in the paper. Equation (65) is wrong, which makes the result in Lemma 22 impossible to be proved. Then the main theorem in Section 5, Theorem 23 and 24 could not be proved",23
1408.0488v2,1408.0488v1,Data Structures and Algorithms (cs.DS),Improved Randomized Rounding using Random Walks,"We describe a novel algorithm for rounding packing integer programs based on multidimensional Brownian motion in $\mathbb{R}^n$. Starting from an optimal fractional feasible solution $\bar{x}$, the procedure converges in polynomial time to a distribution over (possibly infeasible) point set $P \subset {\{0,1 \}}^n$ such that the expected value of any linear objective function over $P$ equals the value at $\bar{x}$. This is an alternate approach to the classical randomized rounding method of Raghavan and Thompson \cite{RT:87}. Our procedure is very general and in conjunction with discrepancy based arguments, yield efficient alternate methods for rounding other optimization problems that can be expressed as packing ILPs including disjoint path problems and MISR.","The primary result claimed in this submission doesn't hold for random 0-1 matrices of size $n^2 \times n$ which can be proved by a probabilistic method. For such matrices, the RT bound is tight",19
2107.06620v2,2107.06620v1,Functional Analysis (math.FA),Riesz transform for a flow Laplacian on homogeneous trees,"We obtain weak type $(1,1)$ and $L^p$ boundedness, for $p \in (1,\infty)$, of the first order Riesz transform and its adjoint operator on a homogeneous tree endowed with the canonical flow measure. This is a model case of measure metric space which is nondoubling, of exponential growth, does not satisfy the Cheeger isoperimetric inequality, and where the Laplacian does not have spectral gap. This complements a previous work by W. Hebisch and T. Steger.","The proof of Theorem 1.1 builds upon Theorem 4.1 and Theorem 4.2, whose proofs are not correct. We remark that the heat kernel estimates of section 3, as well as Theorem 4.4, are correct and may have an independent interest",15
1404.5074v2,1404.5074v1,Quantum Physics (quant-ph),Relativistic Dynamical Collapse Model for a Scalar Field,"A natural generalization of the CSL (Continuous Spontaneous Localization) theory of dynamical collapse is applied to a relativistic quantum scalar field $\phi({\bf x},t)$. It is shown that the modified Schr_dinger equation is relativistically invariant, that the probabilities associated to all possible values of the classical scalar random field $w({\bf x},t)$ (which determines the eventual state of collapse) add up to 1, that there is no energy production out of the vacuum and, in the limit of large time, the collapse is toward eigenstates of $\phi({\bf x},0)$.","The paper has been withdrawn because it requires two incompatible properties of the kernel G, that it be positive definite and that it not vanish only for space-like values of its argument",14
1509.08539v2,1509.08539v1,Quantum Physics (quant-ph),A Bell Inequality with Quantum to Classical Violation $\frac{3}{2}$,"We introduce a Bell inequality in a bipartite spin-$\frac{1}{2}$ system with a quantum to classical violation ratio of $\frac{3}{2}$, exceeding the $\sqrt{2}$ violation of the Clauser-Horne-Shimony-Holt inequality. The increase is allowed by the use of products of non-commuting observables symmetrized over all possible orderings in the quantization. This shows that the non-commutativity of operations intrinsic to quantum mechanics contributes to its violation of local realism. It is shown that generalizing the inequality to high order does not increase the violation. This, along with a hidden variable model found by Toner et. al., leads us to conjecture that $\frac{3}{2}$ is the maximal possible violation.","This paper has been withdrawn by the authors due to an unwarranted assumption. Although symmetrization is the quantization of products of noncommuting observables, it does not follow that the quantum expectation value of products of local hidden variables is the symmetrization of the latter. This is an additional assumption that has implications beyond the scope of this paper",5
1210.4714v2,1210.4714v1,Classical Analysis and ODEs (math.CA),On inequalities of trigonometric approximation in Lebesgue spaces $L^{p}$ $0<p<\infty $ with $A_{\infty}$ weights,"The paper has been withdrawn by the author. The main inequalities of trigonometric approximation are proved in Lebesgue spaces with $A_{\infty}$ weights. Here Jackson-Stechkin type direct theorem, its weak converse and a realization result are obtained with respect to a fractional order moduli of smoothness. We improved the Jackson inequalities for several ways. We find the exact constant of Jackson-Stechkin inequality for $p=2$.",This paper has been withdrawn by the author due to a crucial error in some weighted L^(2) inequality,23
1109.3433v2,1109.3433v1,Combinatorics (math.CO),Loose Laplacian spectra of random hypergraphs,"Let $H=(V,E)$ be an $r$-uniform hypergraph with the vertex set $V$ and the edge set $E$. For $1\leq s \leq r/2$, we define a weighted graph $G^{(s)}$ on the vertex set ${V\choose s}$ as follows. Every pair of $s$-sets $I$ and $J$ is associated with a weight $w(I,J)$, which is the number of edges in $H$ passing through $I$ and $J$ if $I\cap J=\emptyset$, and 0 if $I\cap J\not=\emptyset$. The $s$-th Laplacian $_^{(s)}$ of $H$ is defined to be the normalized Laplacian of $G^{(s)}$. The eigenvalues of $\mathcal L^{(s)}$ are listed as $\lambda^{(s)}_0, \lambda^{(s)}_1,..., \lambda^{(s)}_{{n\choose s}-1}$ in non-decreasing order. Let $\bar\lambda^{(s)}(H)=\max_{i\not=0}\{|1-\lambda^{(s)}_i|\}$. The parameters $\bar\lambda^{(s)}(H)$ and $\lambda^{(s)}_1(H)$, which were introduced in our previous paper \cite{rwalk}, have a number of connections to the mixing rate of high-ordered random walks, the generalized distances/diameters, and the edge expansions. For $0< p<1$, let $H^r(n,p)$ be a random $r$-uniform hypergraph over $[n]:=\{1,2,..., n\}$, where each $r$-set of $[n]$ has probability $p$ to be an edge independently. For $1 \leq s \leq r/2$, and $p(1-p)\gg \frac{\log n}{n^{r-s}}$, we prove that the empirical distribution of the eigenvalues of $_^{(s)}$ for $H^r(n,p)$ follows the Semicircle Law centered at 1 with radius $(2+o(1))\sqrt{\frac{1-p}{{r-s\choose s}{n-s\choose r-s}p}}$.",This paper has been withdrawn by the author due to an error in estimating the trace. It affects the bound on __1. However the statement of the Semicirle law remains true,21
1005.1122v2,1005.1122v1,Data Structures and Algorithms (cs.DS),Estimating small frequency moments of data stream: a characteristic function approach,"A data stream is viewed as a sequence of $M$ updates of the form $(\text{index},i,v)$ to an $n$-dimensional integer frequency vector $f$, where the update changes $f_i$ to $f_i + v$, and  $v$ is an integer and  assumed to be in $\{-m, ..., m\}$. The $p$th frequency moment $F_p$ is defined as $\sum_{i=1}^n \abs{f_i}^p$.  We consider the problem  of estimating $F_p$ to within a multiplicative  approximation factor of $1\pm \epsilon$, for $p \in [0,2]$.
Several estimators have been proposed  for this problem, including Indyk's median estimator \cite{indy:focs00}, Li's geometric means estimator \cite{pinglib:2006}, an \Hss-based estimator \cite{gc:random07}. The first two estimators require space $\tilde{O}(\epsilon^{-2})$, where the $\tilde{O}$ notation hides polylogarithmic factors in $\epsilon^{-1}, m, n$ and $M$. Recently, Kane, Nelson and Woodruff in \cite{knw:soda10} present a space-optimal and novel estimator, called the log-cosine estimator.
In this paper, we present an elementary analysis of the  log-cosine estimator in a stand-alone setting. The  analysis in \cite{knw:soda10} is more complicated.",Withdrawn due to an error in proof of Lemma 2.2,7
2012.13743v2,2012.13743v1,Analysis of PDEs (math.AP),Some Existence Results for a Singular Elliptic Problem via Bifurcation Theory,"We study a semilinear elliptic problem with a singular nonlinear term of the type $g(u)=-u^{-1}$, using a variational approach. Note that the minus sign is important since the corresponding term in the Euler-Lagrange functional is concave. Contrary to the convex case there are no solutions for the Dirichlet problem, due to the power being $-1$. We therefore study the Neumann problem and prove a local existence result for solutions bifurcating from constant solutions. In the radial case we show that one of the two bifurcation branches is global and unbounded, and we find its asympotic behaviour.","There is a significant problem in the proof of Theorem 2.1: the ""classical bifurcation result for potential operators"" quoted at the end of the proof of 2.1 seems not to be so well known and the cited paper [8] only covers a very partial case . So a major revision was needed and the author has came to the conclusion that the revised version should be a new paper, with a different title",13
1308.5575v2,1308.5575v1,Logic (math.LO),Wider Thin-Very Tall Superatomic Boolean Algebras,For each regular cardinal k > w we show the consistent existence of a thin very tall superatomic Boolean algebra of width k.,There is a gap in claim 4.9,16
1405.4600v2,1405.4600v1,Rings and Algebras (math.RA),Blocks of representations of Lie algebras,"In the theory of finite groups, the irreducible representations of G over a field F are classified into blocks based on a direct decompositions of the group algebra FG. This gives a natural decomposition of FG-modules into direct summands, each summand having all its composition factors belonging to a single block. This block decomposition is the finest natural decomposition of the FG-modules. In this paper, a classification of the irreducible representations of a finite dimensional Lie algebra L into blocks is defined, giving the finest natural direct decomposition of L-modules. This classification is investigated for supersoluble algebras.",This paper has been withdrawn by the author due to an error in the proof of Lemma 4.22. It is possible for the extension to split,15
1805.10628v2,1805.10628v1,Computer Vision and Pattern Recognition (cs.CV),A Simple Riemannian Manifold Network for Image Set Classification,"In the domain of image-set based classification, a considerable advance has been made by representing original image sets as covariance matrices which typical lie in a Riemannian manifold. Specifically, it is a Symmetric Positive Definite (SPD) manifold. Traditional manifold learning methods inevitably have the property of high computational complexity or weak performance of the feature representation. In order to overcome these limitations, we propose a very simple Riemannian manifold network for image set classification. Inspired by deep learning architectures, we design a fully connected layer to generate more novel, more powerful SPD matrices. However we exploit the rectifying layer to prevent the input SPD matrices from being singular. We also introduce a non-linear learning of the proposed network with an innovative objective function. Furthermore we devise a pooling layer to further reduce the redundancy of the input SPD matrices, and the log-map layer to project the SPD manifold to the Euclidean space. For learning the connection weights between the input layer and the fully connected layer, we use Two-directional two-dimensional Principal Component Analysis ((2D)2PCA) algorithm. The proposed Riemannian manifold network (RieMNet) avoids complex computing and can be built and trained extremely easy and efficient. We have also developed a deep version of RieMNet, named as DRieMNet. The proposed RieMNet and DRieMNet are evaluated on three tasks: video-based face recognition, set-based object categorization, and set-based cell identification. Extensive experimental results show the superiority of our method over the state-of-the-art.","There are some errors in the submitted paper. (1) Section III, part B, the Equation (8) is formulated in wrong way. (2) Section III, part E, we use S to represents the sum of eigenvalues in Equation (15) but it has been used as the sactter matrix in Equation (17) and (18). As a result, we are very sorry for this, and would like to withdraw this submitted paper to carefully revise it",12
2111.11378v2,2111.11378v1,Combinatorics (math.CO),The Young matroid: A multiset extension of the Catalan matroid to arbitrary Young diagrams,"Introduced by Ardila (J. Combin. Theory Ser. A, 2003), the Catalan matroid is obtained by defining the bases of the matroid using Dyck paths from $(0,0)$ to $(n,n)$. Further research has gone into the topic, with variants like lattice path matroids (introduced by Bonin, de Mier, and Noy (J. Combin. Theory Ser. A, 2003)) and shifted matroids (introduced independently by Klivans (2003), and Ardila) being studied intensively. In this short note, we introduce the Young matroid, an extension of the Catalan matroid, where the bases are defined using the standard Young tableaux of a fixed shape. This extension necessarily involves the consideration of independent multisets and multiset bases.","Section 2 has outlines of all proofs, and not complete proofs. While completing the proof of Theorem 1.2, an error was found which cannot be fixed. In fact, The claim of Theorem 1.2 was later found to be incorrect: a counterexample was found which was an integer polytope but not a matroid basis polytope",7
1111.6698v2,1111.6698v1,Data Structures and Algorithms (cs.DS),On the Integrality Gap of the Directed-Component Relaxation for Steiner Tree,"In this note, we show that the integrality gap of the $k$-Directed-Component- Relaxation($k$-DCR) LP for the Steiner tree problem, introduced by Byrka, Grandoni, Rothvob and Sanita (STOC 2010), is at most $\ln(4)<1.39$. The proof is constructive: we can efficiently find a Steiner tree whose cost is at most $\ln(4)$ times the cost of the optimal fractional $k$-restricted Steiner tree given by the $k$-DCR LP.","This paper has been withdrawn due to a crucial error in Lemma 4. In Lemma 4, additional property for $\{Y'_j\}$ is needed to guarantee that the family of distributions exists. However, we can not guarantee the condition for every iteration",7
1904.01893v2,1904.01893v1,Computer Vision and Pattern Recognition (cs.CV),Semantic Bilinear Pooling for Fine-Grained Recognition,"Fine-grained recognition, e.g., vehicle identification or bird classification, naturally has specific hierarchical labels, where fine levels are always much harder to be classified than coarse levels. However, most of the recent deep learning based methods neglect the semantic structure of fine-grained objects, and do not take advantages of the traditional fine-grained recognition techniques (e.g. coarse-to-fine classification). In this paper, we propose a novel framework, i.e., semantic bilinear pooling, for fine-grained recognition with hierarchical multi-label learning. This framework can adaptively learn the semantic information from the hierarchical labels. Specifically, a generalized softmax loss is designed for the training of the proposed framework, in order to fully exploit the semantic priors via considering the relevance between adjacent levels. A variety of experiments on several public datasets show that our proposed method has very impressive performance with low feature dimensions compared to other state-of-the-art methods.","There were some errors. In Fig.3, the loss of coarse branch should be traditional softmax. In Table 2, the max iterations should be 100000 and 40000. In section 4.2, ' without any data argumentation.' is wrong because there are some argumentation tricks used. In section 3.2, equation 1 describes the cross-entropy loss instead of softmax operation and 'c=1--->c=C' should be 'c=0--->c=C-1'",6
2102.11873v7,2102.11873v6,General Mathematics (math.GM),A complete solution to the incompressible Navier-Stokes equation,"In this paper, we solve the Navier-Stokes equation, one of the seven Millennium Prize Problems suggested by Clay Mathematics Institute(CMI). We prove that, for any initial velocity u0, there has been a force vector f, such that there exists no smooth solution to the respective Navier-Stokes equation. By the way, exact solutions can be explicitly solved as series, where the coefficients are all known functions determined only by u0 abd f. Similar result also holds for the Euler this http URL any n>=2, similar results also hold for dimensional Navier-Stokes equation or Euler equation.","I have some doubt that Lemma 3.1 may have problem when u is integrable,but |u| is not integrable. So,I decide to withdraw so as to study it",11
1006.4703v4,1006.4703v3,Information Theory (cs.IT),A construction of universal secure network coding,We construct a universal secure network coding. Our construction just modifies the transmission scheme at the source node and works with every linear coding at an intermediate node. We relax the security criterion such that the mutual information between the message and the eavesdropped signal is sufficiently small instead of strictly zero. Our construction allows the set of eavesdropped links to change at each time slot.,"This paper has been withdrawn by the author. The proof technique in this paper does not ensure the existence of a coding scheme that is secure against all the eavesdropping matrices of rank less than or equal to _, which means that the proof does not prove the universal security as originally claimed. A much extended and corrected version of this paper was registered as arXiv:1102.3002. The author appreciates the helpful comment by Dr. [REDACTED-NAME]",9
2303.15863v2,2303.15863v1,Theoretical Economics (econ.TH),Study on the risk-informed heuristic of decision-making on the restoration of defaulted corporation networks,"Government-run (Government-led) restoration has become a common and effective approach to the mitigation of financial risks triggered by corporation credit defaults. However, in practice, it is often challenging to come up with the optimal plan of those restorations, due to the massive search space associated with defaulted corporation networks (DCNs), as well as the dynamic and looped interdependence among the recovery of those individual corporations. To address such a challenge, this paper proposes an array of viable heuristics of the decision-making that drives those restoration campaigns. To examine their applicability and measure their performance, those heuristics have been applied to two real-work DCNs that consists of 100 listed Chinese A-share companies, whose restoration has been modelled based on the 2021 financial data, in the wake of randomly generated default scenarios. The corresponding simulation outcome of the case-study shows that the restoration of the DCNs would be significantly influenced by the different heuristics adopted, and in particular, the system-oriented heuristic is revealed to be significantly outperforming those individual corporation-oriented ones. Therefore, such a research has further highlighted that the interdependence-induced risk propagation shall be accounted for by the decision-makers, whereby a prompt and effective restoration campaign of DCNs could be shaped.","An effective influencing factor that has not been taken into account is the importance of each node in the overall topology, which will lead to biased research results and mislead the reader. Therefore, this manuscript needs to be withdrawn",27
1804.06427v2,1804.06427v1,Fluid Dynamics (physics.flu-dyn),Electrothermally induced flow in AC EWOD droplet,"We show a novel way of generating electrohydrodynamic motion inside a droplet under AC electrowetting. Using a very low applied voltage (10<V) strong electrothermal motion can be generated in the droplet. Alternating current electrothermal (ACET) actuation originates due to imposed Joule heating into the fluid body via applied electric field. A parametric study based on operating parameters and geometrical parameter is conducted experimentally and numerically. With the operating ranges of parameters, high fluid velocity of the order of mm/s can be generated inside the droplet. Further improvement in fluid motion can be anticipated through optimization technique. The investigations revealed in the analysis can be used as useful tool in the design of efficient drop-based micromixer.",There is an error in the Fig. 2. Error bar which is shown in the Fig should be 50 micron instead of 350 micron,10
1905.10612v2,1905.10612v1,Commutative Algebra (math.AC),On the structure of power set ring,"In this paper, Stone's Representation Theorem is generalized from Boolean rings to arbitrary commutative rings, and the generalized form is proved by an easy and natural approach. We have also made new progresses in the understanding the structure of power set ring specially its maximal (prime) ideals are characterized.","There is an error on page 4 after Proposition 4.2. The stated map at there is not additive. In fact, P(A)+P(B) is contained in P(A+B). But P(A+B) is not necessarily contained in P(A)+P(B)",9
1009.2132v2,1009.2132v1,Complex Variables (math.CV),Value sharing of meromorphic functions and Fang's problem,"In this paper, we shall study the uniqueness problems on meromorphic functions sharing a polynomial. We give a complete answer to a problem posed by Fang Mingliang. Our results improve or generalize those given by Fang and Hua, Yang and Hua, Fang, Fang and Qiu, Lin and Yi, Zhang, Xu, et al.","The authors regret Lemmma 2.8 is not cited correctly, which is different with [17. Theorem 4.8]",15
1103.6179v2,1103.6179v1,Strongly Correlated Electrons (cond-mat.str-el),Marginal Fermi Liquid from a Partially Nested Fermi Surface and Impurity Scattering in a Two Dimensional Metal,"The electron-electron scattering rate of low-energy quasiparticles is computed perturbatively for a two-dimensional metal with a partially nested Fermi surface, a weak electron-electron interaction and an energy-independent impurity scattering rate. We show that even when the nested section comprises only a small fraction of the Fermi surface, the low energy quasiparticle decay rates throughout the Fermi surface gain a term which is linear in energy $\omega$. The coefficient of this linear contribution is largest along the nested regions but remains finite elsewhere, and is strongly dependent on the impurity scattering rate $\delta$. We discuss the possible relevance of this result to unconventional superconductors (such as the cuprates) and to the normal state of charge density wave materials such as the rare Earth tellurides.","This paper has been withdrawn due to an error in equation (9), which invalidates the subsequent calculations. A revised version is in preparation. Contact: [REDACTED-EMAIL]",8
2104.09901v2,2104.09901v1,Analysis of PDEs (math.AP),On the existence of weak solutions in the context of multidimensional incompressible fluid dynamics,"We define the concept of energy-variational solutions for the Navier--Stokes and Euler equations. This concept is shown to be equivalent to weak solutions with energy conservation. Via a standard Galerkin discretization, we prove the existence of energy-variational solutions and thus weak solutions in any space dimension for the Navier--Stokes equations. In the limit of vanishing viscosity the same assertions are deduced for the incompressible Euler system. Via the selection criterion of maximal dissipation we deduce well-posedness for these equations.",There is an error in the preprint. Proposition 2.6 is false. The error occurs when applying Lemma 2.1 in order to deduce equation (12a) and (12b) respectively,17
1505.06527v2,1505.06527v1,Mathematical Physics (math-ph),Poisson statistics for random deformed band matrices with power law band width,"We show Poisson statistics for random band matrices which diagonal entries have Gaussian components. These components are possibly as small as $n^{-\varepsilon}$. Particularly, our result is applicable for a band matrix cut from the GUE with the band width satisfying $w^{3.5}<<n$. A uniform upper bound of the averaged density of states (DOS) is obtained for complex deformed Gaussian band matrices with arbitrary $w$. A lower estimate of the DOS is also proven for arbitrary $w$ in a certain class of band matrices.",We found a gap in the equation (53). The corresponding theorem is to be reworked. Theorem 1.4 and Theorem 1.5 are still correct without changes,17
1109.6280v2,1109.6280v1,Astrophysics of Galaxies (astro-ph.GA),Time Variation of GeV Gammas from the Galactic Center with a Period ~4 yr,"An analysis of data from the Fermi LAT on long time scales shows strong evidence that the flux of GeV gammas from Sgr A* has a significant component that varies with a period \gtrsim4 yr. The flux varied about 15% over the 3-years of LAT observations. Orbits of over 100 stars in the innermost arcsecond of our Galaxy have been tracked around the massive black hole that resides there. Of these, the star S2 has the shortest orbital period 15.8 yr. This suggests that the GeV gamma flux is being modulated by accretion flow of matter accompanying the orbiting stars into the black hole.",This paper is withdrawn due to the discovery of a systematic error that caused the apparent time dependence. Thanks to [REDACTED-NAME] who pointed out that a cut to remove gammas from the Earth's limb should have been applied,8
2111.04011v2,2111.04011v1,Data Structures and Algorithms (cs.DS),$k$ disjoint $st$-paths activation in polynomial time,"In activation network design problems we are given an undirected graph $G=(V,E)$ and a pair of activation costs $\{c_e^u,c_e^v\}$ for each $e=uv \in E$. The goal is to find an edge set $F \subseteq E$ that satisfies a prescribed property of minimum activation cost $\tau(F)=\sum_{v \in V} \max \{c_e^v: e \in F \mbox{ is incident to } v\}$. In the Activation $k$ Disjoint Paths problem we are given $s,t \in V$ and an integer $k$, and seek an edge set $F \subseteq E$ of $k$ internally disjoint $st$-paths of minimum activation cost. The problem admits an easy $2$-approximation algorithm. However, it was an open question whether the problem is in P even for $k=2$ and power activation costs, when $c_e^u=c_e^v$ for all $e=uv \in E$. Here we will answer this question by giving a polynomial time algorithm using linear programing. We will also mention several consequences, among them a polynomial time algorithm for the Activation 2 Edge Disjoint Paths problem, and improved approximation ratios for the Min-Power $k$-Connected Subgraph problem.",The paper has an error - the proof of Lemma 7 is not correct,5
